,region,period_begin,period_end,period_duration,median_sale_price,homes_sold
2650889,"Denver, CO",2019-03-01,2019-03-31,30,465000.0,794.0
2654809,"Atlanta, GA",2020-08-01,2020-08-31,30,410000.0,847.0
2657052,"Boston, MA",2018-02-01,2018-02-28,30,540000.0,29.0
2669319,"Raleigh, NC",2020-11-01,2020-11-30,30,374000.0,493.0
2674850,"Denver, CO",2020-09-01,2020-09-30,30,533500.0,890.0
2676256,"New York, NY",2018-03-01,2018-03-31,30,560500.0,617.0
2678210,"Seattle, WA",2021-11-01,2021-11-30,30,899475.0,590.0
2679494,"Austin, TX",2020-10-01,2020-10-31,30,480000.0,1185.0
2690473,"Denver, CO",2020-05-01,2020-05-31,30,500000.0,467.0
2692851,"Raleigh, NC",2020-05-01,2020-05-31,30,329000.0,466.0
2701085,"Raleigh, NC",2020-07-01,2020-07-31,30,350000.0,619.0
2701568,"San Francisco, CA",2018-02-01,2018-02-28,30,1700000.0,105.0
2707916,"Seattle, WA",2018-10-01,2018-10-31,30,760000.0,523.0
2711058,"Austin, TX",2020-12-01,2020-12-31,30,509000.0,1126.0
2711539,"Austin, TX",2018-06-01,2018-06-30,30,400000.0,1326.0
2715311,"New York, NY",2018-11-01,2018-11-30,30,585000.0,688.0
2722431,"Los Angeles, CA",2019-07-01,2019-07-31,30,820000.0,1594.0
2731700,"Seattle, WA",2020-10-01,2020-10-31,30,840500.0,792.0
2743076,"Denver, CO",2019-11-01,2019-11-30,30,465000.0,717.0
2747153,"Atlanta, GA",2020-05-01,2020-05-31,30,373000.0,568.0
2750743,"Chicago, IL",2021-07-01,2021-07-31,30,335000.0,988.0
2757928,"Los Angeles, CA",2021-01-01,2021-01-31,30,950000.0,1285.0
2764620,"Atlanta, GA",2020-09-01,2020-09-30,30,427000.0,857.0
2766531,"Atlanta, GA",2019-06-01,2019-06-30,30,399000.0,761.0
2774977,"Seattle, WA",2018-02-01,2018-02-28,30,765777.0,362.0
2789468,"Los Angeles, CA",2018-02-01,2018-02-28,30,758000.0,1066.0
2796163,"Austin, TX",2019-08-01,2019-08-31,30,410000.0,1181.0
2808911,"New York, NY",2019-06-01,2019-06-30,30,625000.0,711.0
2814798,"Chicago, IL",2020-09-01,2020-09-30,30,300000.0,1072.0
2827578,"Seattle, WA",2019-09-01,2019-09-30,30,775000.0,488.0
